"247","000693.SZ","*ST华泽","0.0000","材料","材料","金属、非金属与采矿","金属非金属","54349.19"
"248","000695.SZ","滨海能源","25.3426","工业","商业和专业服务","商业服务与用品","商业印刷","22214.75"
"249","000697.SZ","炼石航空","91.8905","工业","资本货物","航空航天与国防","航天航空与国防","67161.61"
"250","000698.SZ","沈阳化工","35.3047","材料","材料","化工","基础化工","81951.44"
"251","000700.SZ","模塑科技","30.9696","可选消费","汽车与汽车零部件","汽车零配件","机动车零配件与设备","82717.87"
"252","000701.SZ","厦门信达","29.3656","工业","资本货物","贸易公司与工业品经销商","贸易公司与工业品经销商","40661.31"
"253","000702.SZ","正虹科技","17.2459","日常消费","食品、饮料与烟草","食品","农产品","26663.46"
"254","000703.SZ","恒逸石化","396.5344","材料","材料","化工","化纤","262795.75"
"255","000705.SZ","浙江震元","23.9967","医疗保健","医疗保健设备与服务","医疗保健提供商与服务","保健护理产品经销商","33412.33"
"256","000707.SZ","*ST双环","16.9506","材料","材料","化工","基础化工","46414.58"
"257","000708.SZ","大冶特钢","51.4573","材料","材料","金属、非金属与采矿","钢铁","44940.85"
"258","000709.SZ","河钢股份","372.0760","材料","材料","金属、非金属与采矿","钢铁","1061860.75"
"259","000710.SZ","贝瑞基因","157.9060","医疗保健","制药、生物科技与生命科学","生物科技","生物科技","35460.59"
"260","000711.SZ","京蓝科技","75.1167","工业","商业和专业服务","专业服务","调查和咨询服务","87665.51"
"261","000712.SZ","锦龙股份","123.2179","金融","多元金融","资本市场","投资银行业与经纪业","89600.00"
"262","000713.SZ","丰乐种业","19.4978","日常消费","食品、饮料与烟草","食品","农产品","32913.28"
"263","000715.SZ","中兴商业","19.8373","可选消费","零售业","多元化零售","百货商店","27900.60"
"264","000716.SZ","黑芝麻","26.6463","日常消费","食品、饮料与烟草","食品","食品加工与肉类","74639.59"
"265","000717.SZ","韶钢松山","146.0909","材料","材料","金属、非金属与采矿","钢铁","241952.44"
"266","000718.SZ","苏宁环球","115.2555","房地产","房地产","房地产管理和开发","房地产开发","303463.62"
"267","000719.SZ","中原传媒","91.0242","可选消费","媒体","媒体","出版","102320.37"
"268","000720.SZ","*ST新能","61.1810","公用事业","公用事业","电力","电力","128965.10"
"269","000721.SZ","西安饮食","22.8168","可选消费","消费者服务","酒店、餐馆与休闲","餐馆","49905.59"
"270","000722.SZ","湖南发展","36.1951","公用事业","公用事业","独立电力生产商与能源贸易商","新能源发电业者","46415.83"
"271","000723.SZ","美锦能源","226.3345","能源","能源","石油、天然气与供消费用燃料","煤炭与消费用燃料","409136.91"
"272","000725.SZ","京东方A","1497.7231","信息技术","技术硬件与设备","电子设备、仪器和元件","电子元件","3479840.00"
"273","000726.SZ","鲁泰A","94.6590","可选消费","耐用消费品与服装","纺织品、服装与奢侈品","纺织品","92260.23"
